product_name, product_price, product_link
ZOTAC GAMING GeForce RTX 4080 SUPER AMP Extreme AIRO DLSS 3 16GB GDDR6X 256-bit 23 Gbps PCIE 4.0 Gaming Graphics Card IceStorm 2.0 Advanced Cooling SPECTRA 2.0 ARGB Lighting ZT-D40820B-10P,$1329,https://www.newegg.ca/zotac-extreme-airo-video-card-zt-d40820b-10p-nvidia-geforce-rtx-4080-super-16gb-gddr6x/p/N82E16814500579R
GIGABYTE GeForce RTX 4080 SUPER GAMING OC 16G Graphics Card 3x WINDFORCE Fans 16GB 256-bit GDDR6X GV-N408SGAMING OC-16GD Video Card,$1349,https://www.newegg.ca/gigabyte-video-card-gv-n408sgaming-oc-16gd-nvidia-geforce-rtx-4080-super-16gb-gddr6x/p/N82E16814932671R
GIGABYTE Gaming GeForce RTX 4080 SUPER 16GB GDDR6X PCI Express 4.0 ATX Video Card GV-N408SGAMING OC-16GD G10-R,$1349,https://www.newegg.ca/gigabyte-gv-n408sgaming-oc-16gd-g10-r-nvidia-geforce-rtx-4080-super-16gb-gddr6x/p/N82E16814932699
PNY GeForce RTX 4080 SUPER 16GB VERTO Overclocked Triple Fan DLSS 3 VCG4080S16TFXPB1-O,$1439,https://www.newegg.ca/pny-verto-vcg4080s16tfxpb1-o-nvidia-geforce-rtx-4080-super-16gb-gddr6x/p/N82E16814133867
MSI Ventus GeForce RTX 4080 SUPER 16GB GDDR6X PCI Express 4.0 Video Card RTX 4080 SUPER 16G VENTUS 3X OC,$1449,https://www.newegg.ca/msi-rtx-4080-super-16g-ventus-3x-oc-nvidia-geforce-rtx-4080-super-16gb-gddr6x/p/N82E16814137852
ZOTAC GAMING GeForce RTX 4080 SUPER Trinity OC White Edition DLSS 3 16GB GDDR6X 256-bit 23 Gbps PCIE 4.0 Gaming Graphics Card IceStorm 2.0 Advanced Cooling SPECTRA RGB Lighting ZT-D40820Q-10P,$1449,https://www.newegg.ca/zotac-trinity-zt-d40820q-10p-nvidia-geforce-rtx-4080-super-16gb-gddr6x/p/N82E16814500581
ZOTAC GAMING GeForce RTX 4080 SUPER Trinity Black Edition DLSS 3 16GB GDDR6X 256-bit 23 Gbps PCIE 4.0 Gaming Graphics Card IceStorm 2.0 Advanced Cooling SPECTRA RGB Lighting ZT-D40820D-10P,$1449,https://www.newegg.ca/zotac-geforce-rtx-4080-super-zt-d40820d-10p/p/N82E16814500580
PNY GeForce RTX 4080 SUPER 16GB VERTO Overclocked Triple Fan DLSS 3 VCG4080S16TFXXPB1-O,$1469,https://www.newegg.ca/pny-geforce-rtx-4080-super-vcg4080s16tfxxpb1-o/p/N82E16814133869
ASUS TUF Gaming NVIDIA GeForce RTX 4080 SUPER OC Edition Gaming Graphics Card (PCIe 4.0 16GB GDDR6X HDMI 2.1a DisplayPort 1.4a) TUF-RTX4080S-O16G-GAMING,$1477,https://www.newegg.ca/asus-tuf-gaming-tuf-rtx4080s-o16g-gaming-nvidia-geforce-rtx-4080-super-16gb-gddr6x/p/N82E16814126693
MSI Gaming GeForce RTX 4080 SUPER 16GB GDDR6X PCI Express 4.0 ATX Video Card RTX 4080 SUPER 16G GAMING X SLIM WHITE,$1529,https://www.newegg.ca/msi-rtx-4080-super-16g-gaming-x-slim-white-nvidia-geforce-rtx-4080-super-16gb-gddr6x/p/N82E16814137884
